f_acidente;d_tipoacidente
354075;Colisão lateral mesmo sentido
354076;Colisão traseira
354077;Colisão frontal
354078;Colisão traseira
354079;Colisão transversal
354080;Colisão lateral mesmo sentido
354081;Colisão lateral mesmo sentido
354082;Colisão traseira
354084;Atropelamento de Pedestre
354085;Colisão transversal
354086;Colisão transversal
354087;Colisão traseira
354088;Colisão lateral sentido oposto
354089;Colisão lateral mesmo sentido
354090;Colisão com objeto
354091;Colisão lateral mesmo sentido
354093;Colisão transversal
354094;Colisão traseira
354095;Saída de leito carroçável
354096;Tombamento
354097;Colisão lateral sentido oposto
354098;Queda de ocupante de veículo
354099;Incêndio
354101;Colisão frontal
354102;Colisão transversal
354103;Colisão frontal
354104;Colisão traseira
354105;Colisão com objeto
354106;Tombamento
354107;Tombamento
354108;Colisão com objeto
354109;Saída de leito carroçável
354110;Tombamento
354111;Saída de leito carroçável
354112;Queda de ocupante de veículo
354113;Colisão traseira
354114;Colisão transversal
354115;Atropelamento de Animal
354116;Colisão traseira
354117;Capotamento
354118;Saída de leito carroçável
354119;Atropelamento de Animal
354120;Colisão com objeto
354121;Capotamento
354122;Tombamento
354123;Tombamento
354124;Colisão com objeto
354125;Saída de leito carroçável
354126;Tombamento
354127;Colisão com objeto
354128;Colisão lateral mesmo sentido
354129;Colisão lateral mesmo sentido
354130;Colisão lateral sentido oposto
354131;Colisão lateral sentido oposto
354132;Tombamento
354133;Tombamento
354134;Colisão traseira
354135;Colisão com objeto
354136;Colisão traseira
354139;Atropelamento de Pedestre
354140;Tombamento
354141;Colisão transversal
354142;Colisão transversal
354143;Incêndio
354144;Colisão traseira
354145;Colisão lateral mesmo sentido
354147;Tombamento
354148;Queda de ocupante de veículo
354149;Engavetamento
354150;Colisão transversal
354152;Colisão lateral mesmo sentido
354153;Tombamento
354154;Colisão com objeto
354155;Colisão lateral mesmo sentido
354156;Atropelamento de Pedestre
354157;Tombamento
354158;Colisão transversal
354159;Atropelamento de Animal
354160;Saída de leito carroçável
354161;Colisão transversal
354162;Colisão traseira
354164;Tombamento
354165;Tombamento
354166;Colisão traseira
354170;Colisão transversal
354171;Tombamento
354172;Queda de ocupante de veículo
354173;Colisão transversal
354174;Capotamento
354175;Saída de leito carroçável
354176;Colisão frontal
354178;Colisão lateral mesmo sentido
354179;Colisão lateral sentido oposto
354180;Colisão traseira
354181;Colisão transversal
354184;Colisão lateral mesmo sentido
354186;Colisão transversal
354187;Colisão lateral mesmo sentido
354188;Colisão traseira
354189;Tombamento
354190;Colisão traseira
354191;Colisão traseira
354192;Saída de leito carroçável
354193;Colisão traseira
354195;Colisão com objeto
354196;Colisão lateral sentido oposto
354197;Tombamento
354198;Colisão traseira
354199;Colisão transversal
354200;Colisão traseira
354201;Colisão traseira
354202;Colisão traseira
354203;Colisão transversal
354204;Capotamento
354205;Colisão traseira
354206;Tombamento
354207;Saída de leito carroçável
354208;Colisão lateral mesmo sentido
354209;Colisão transversal
354211;Saída de leito carroçável
354212;Saída de leito carroçável
354213;Queda de ocupante de veículo
354214;Tombamento
354215;Colisão traseira
354216;Colisão traseira
354217;Queda de ocupante de veículo
354218;Colisão traseira
354219;Atropelamento de Pedestre
354220;Colisão traseira
354221;Colisão transversal
354222;Saída de leito carroçável
354224;Colisão traseira
354226;Colisão lateral sentido oposto
354227;Colisão transversal
354228;Colisão traseira
354229;Colisão traseira
354230;Colisão lateral mesmo sentido
354231;Saída de leito carroçável
354232;Colisão lateral mesmo sentido
354233;Engavetamento
354235;Colisão traseira
354236;Colisão traseira
354237;Colisão lateral mesmo sentido
354238;Engavetamento
354239;Colisão lateral mesmo sentido
354240;Queda de ocupante de veículo
354242;Colisão transversal
354243;Queda de ocupante de veículo
354244;Colisão lateral mesmo sentido
354245;Colisão traseira
354246;Colisão lateral mesmo sentido
354247;Colisão frontal
354248;Engavetamento
354250;Colisão traseira
354251;Colisão transversal
354252;Queda de ocupante de veículo
354253;Colisão lateral mesmo sentido
354254;Colisão traseira
354256;Colisão traseira
354257;Saída de leito carroçável
354259;Saída de leito carroçável
354260;Colisão traseira
354261;Colisão frontal
354262;Colisão traseira
354263;Colisão frontal
354264;Colisão transversal
354265;Tombamento
354266;Colisão lateral mesmo sentido
354267;Colisão com objeto
354268;Colisão transversal
354269;Colisão com objeto
354270;Incêndio
354271;Colisão transversal
354272;Tombamento
354273;Atropelamento de Pedestre
354275;Tombamento
354276;Saída de leito carroçável
354277;Colisão traseira
354278;Colisão transversal
354280;Tombamento
354281;Queda de ocupante de veículo
354282;Colisão traseira
354283;Queda de ocupante de veículo
354284;Colisão com objeto
354285;Saída de leito carroçável
354286;Colisão frontal
354287;Colisão frontal
354288;Colisão transversal
354289;Atropelamento de Animal
354290;Colisão traseira
354291;Colisão com objeto
354292;Incêndio
354293;Colisão lateral sentido oposto
354295;Tombamento
354296;Colisão traseira
354297;Colisão traseira
354298;Colisão lateral mesmo sentido
354299;Capotamento
354300;Colisão traseira
354301;Colisão transversal
354302;Colisão traseira
354303;Queda de ocupante de veículo
354304;Colisão lateral mesmo sentido
354308;Colisão lateral mesmo sentido
354309;Saída de leito carroçável
354310;Colisão traseira
354311;Atropelamento de Pedestre
354312;Colisão frontal
354313;Colisão traseira
354314;Colisão lateral mesmo sentido
354316;Atropelamento de Pedestre
354317;Colisão lateral mesmo sentido
354318;Colisão lateral mesmo sentido
354319;Colisão frontal
354320;Colisão transversal
354321;Tombamento
354322;Colisão traseira
354323;Queda de ocupante de veículo
354324;Colisão traseira
354325;Colisão transversal
354326;Colisão lateral sentido oposto
354328;Colisão com objeto
354329;Colisão traseira
354330;Colisão lateral sentido oposto
354331;Tombamento
354333;Colisão lateral mesmo sentido
354335;Colisão transversal
354338;Colisão traseira
354339;Saída de leito carroçável
354340;Colisão transversal
354341;Colisão frontal
354342;Queda de ocupante de veículo
354343;Tombamento
354344;Colisão frontal
354346;Tombamento
354347;Capotamento
354349;Colisão traseira
354350;Colisão transversal
354351;Colisão transversal
354352;Colisão traseira
354353;Tombamento
354354;Colisão com objeto
354356;Colisão traseira
354358;Saída de leito carroçável
354360;Colisão traseira
354362;Saída de leito carroçável
354363;Colisão lateral mesmo sentido
354364;Capotamento
354366;Saída de leito carroçável
354367;Colisão lateral mesmo sentido
354368;Saída de leito carroçável
354369;Colisão traseira
354370;Colisão traseira
354371;Capotamento
354372;Colisão traseira
354373;Colisão com objeto
354374;Incêndio
354375;Saída de leito carroçável
354376;Atropelamento de Pedestre
354377;Queda de ocupante de veículo
354378;Tombamento
354379;Tombamento
354380;Colisão lateral mesmo sentido
354381;Colisão traseira
354382;Saída de leito carroçável
354383;Colisão transversal
354384;Colisão com objeto
354386;Colisão traseira
354389;Saída de leito carroçável
354391;Colisão lateral sentido oposto
354394;Colisão traseira
354395;Capotamento
354396;Colisão traseira
354397;Tombamento
354399;Colisão traseira
354400;Colisão traseira
354401;Colisão traseira
354402;Colisão lateral mesmo sentido
354403;Atropelamento de Pedestre
354404;Colisão traseira
354405;Saída de leito carroçável
354407;Colisão lateral mesmo sentido
354408;Colisão transversal
354409;Colisão transversal
354410;Colisão transversal
354411;Colisão com objeto
354412;Colisão traseira
354413;Colisão frontal
354414;Saída de leito carroçável
354415;Tombamento
354417;Colisão lateral sentido oposto
354418;Colisão traseira
354419;Colisão transversal
354420;Capotamento
354421;Colisão traseira
354422;Colisão transversal
354423;Colisão transversal
354424;Colisão traseira
354425;Saída de leito carroçável
354426;Colisão traseira
354427;Tombamento
354428;Tombamento
354429;Atropelamento de Pedestre
354431;Colisão lateral mesmo sentido
354433;Colisão com objeto
354434;Atropelamento de Pedestre
354435;Tombamento
354436;Colisão com objeto
354438;Atropelamento de Pedestre
354439;Colisão com objeto
354440;Colisão frontal
354441;Saída de leito carroçável
354442;Colisão traseira
354444;Saída de leito carroçável
354445;Tombamento
354446;Colisão traseira
354447;Capotamento
354448;Saída de leito carroçável
354449;Atropelamento de Pedestre
354450;Saída de leito carroçável
354451;Colisão transversal
354452;Colisão traseira
354453;Colisão traseira
354454;Colisão traseira
354455;Tombamento
354456;Colisão traseira
354458;Colisão frontal
354459;Colisão frontal
354460;Saída de leito carroçável
354461;Colisão traseira
354462;Colisão traseira
354463;Tombamento
354464;Colisão transversal
354465;Colisão transversal
354466;Colisão traseira
354467;Colisão lateral mesmo sentido
354468;Colisão com objeto
354470;Colisão frontal
354471;Colisão transversal
354472;Colisão traseira
354473;Colisão lateral sentido oposto
354474;Colisão traseira
354475;Saída de leito carroçável
354476;Colisão traseira
354478;Saída de leito carroçável
354479;Colisão lateral mesmo sentido
354483;Colisão frontal
354485;Colisão lateral mesmo sentido
354486;Saída de leito carroçável
354487;Engavetamento
354488;Colisão lateral mesmo sentido
354489;Engavetamento
354490;Saída de leito carroçável
354491;Eventos atípicos
354493;Colisão transversal
354495;Colisão transversal
354496;Colisão traseira
354498;Queda de ocupante de veículo
354499;Colisão traseira
354500;Colisão lateral mesmo sentido
354501;Colisão traseira
354502;Tombamento
354503;Colisão traseira
354504;Colisão lateral mesmo sentido
354505;Colisão lateral sentido oposto
354506;Capotamento
354507;Tombamento
354508;Colisão transversal
354509;Colisão transversal
354510;Queda de ocupante de veículo
354511;Colisão com objeto
354512;Saída de leito carroçável
354513;Colisão traseira
354514;Colisão traseira
354515;Colisão traseira
354516;Atropelamento de Pedestre
354517;Saída de leito carroçável
354520;Queda de ocupante de veículo
354522;Colisão com objeto
354523;Tombamento
354525;Colisão transversal
354526;Colisão lateral mesmo sentido
354527;Colisão traseira
354528;Saída de leito carroçável
354529;Saída de leito carroçável
354530;Colisão transversal
354531;Saída de leito carroçável
354532;Colisão lateral mesmo sentido
354533;Colisão com objeto
354534;Tombamento
354535;Atropelamento de Animal
354536;Saída de leito carroçável
354537;Tombamento
354538;Tombamento
354539;Engavetamento
354540;Derramamento de carga
354541;Colisão transversal
354543;Colisão transversal
354544;Colisão traseira
354545;Colisão lateral sentido oposto
354546;Colisão lateral mesmo sentido
354547;Colisão transversal
354548;Colisão com objeto
354549;Saída de leito carroçável
354550;Colisão traseira
354551;Atropelamento de Pedestre
354552;Colisão traseira
354553;Colisão lateral mesmo sentido
354554;Tombamento
354555;Incêndio
354556;Colisão transversal
354557;Colisão transversal
354558;Saída de leito carroçável
354559;Colisão transversal
354560;Queda de ocupante de veículo
354561;Colisão lateral mesmo sentido
354562;Colisão frontal
354563;Queda de ocupante de veículo
354564;Colisão traseira
354565;Saída de leito carroçável
354566;Atropelamento de Pedestre
354567;Colisão frontal
354568;Colisão lateral mesmo sentido
354570;Colisão traseira
354572;Colisão lateral mesmo sentido
354573;Colisão traseira
354574;Tombamento
354575;Colisão lateral mesmo sentido
354576;Colisão transversal
354577;Tombamento
354579;Colisão frontal
354580;Colisão traseira
354581;Colisão traseira
354582;Colisão lateral mesmo sentido
354583;Colisão traseira
354584;Atropelamento de Animal
354585;Colisão traseira
354587;Colisão traseira
354588;Atropelamento de Pedestre
354589;Capotamento
354591;Saída de leito carroçável
354594;Colisão traseira
354595;Atropelamento de Pedestre
354597;Colisão lateral sentido oposto
354599;Colisão traseira
354601;Saída de leito carroçável
354602;Tombamento
354603;Colisão lateral sentido oposto
354604;Colisão traseira
354605;Colisão lateral mesmo sentido
354606;Saída de leito carroçável
354608;Colisão traseira
354609;Colisão transversal
354610;Colisão com objeto
354611;Incêndio
354612;Capotamento
354613;Capotamento
354614;Saída de leito carroçável
354615;Colisão traseira
354616;Colisão traseira
354617;Colisão com objeto
354618;Saída de leito carroçável
354620;Tombamento
354621;Saída de leito carroçável
354622;Derramamento de carga
354623;Atropelamento de Pedestre
354624;Colisão traseira
354625;Colisão traseira
354626;Saída de leito carroçável
354627;Colisão traseira
354628;Atropelamento de Pedestre
354629;Saída de leito carroçável
354631;Queda de ocupante de veículo
354632;Engavetamento
354633;Atropelamento de Animal
354635;Saída de leito carroçável
354636;Colisão traseira
354637;Colisão lateral mesmo sentido
354638;Colisão lateral mesmo sentido
354639;Saída de leito carroçável
354640;Incêndio
354641;Tombamento
354642;Colisão traseira
354643;Colisão transversal
354644;Colisão lateral mesmo sentido
354645;Colisão traseira
354646;Colisão lateral mesmo sentido
354647;Colisão lateral sentido oposto
354648;Colisão lateral mesmo sentido
354650;Colisão traseira
354651;Colisão lateral mesmo sentido
354652;Tombamento
354653;Colisão transversal
354655;Colisão traseira
354656;Atropelamento de Pedestre
354657;Colisão lateral mesmo sentido
354658;Saída de leito carroçável
354660;Colisão com objeto
354661;Colisão traseira
354663;Colisão traseira
354664;Saída de leito carroçável
354665;Colisão lateral mesmo sentido
354666;Colisão lateral mesmo sentido
354668;Tombamento
354669;Colisão com objeto
354671;Colisão lateral mesmo sentido
354672;Atropelamento de Pedestre
354673;Colisão traseira
354675;Colisão com objeto
354676;Tombamento
354677;Colisão lateral mesmo sentido
354678;Atropelamento de Pedestre
354679;Engavetamento
354681;Colisão transversal
354684;Saída de leito carroçável
354685;Queda de ocupante de veículo
354686;Colisão com objeto
354687;Colisão lateral sentido oposto
354688;Colisão traseira
354689;Colisão traseira
354692;Colisão lateral sentido oposto
354693;Colisão com objeto
354695;Colisão traseira
354696;Queda de ocupante de veículo
354697;Colisão traseira
354698;Saída de leito carroçável
354699;Colisão lateral mesmo sentido
354700;Colisão transversal
354702;Saída de leito carroçável
354703;Queda de ocupante de veículo
354705;Tombamento
354706;Queda de ocupante de veículo
354707;Colisão transversal
354708;Colisão frontal
354709;Colisão traseira
354710;Colisão frontal
354711;Colisão frontal
354712;Colisão frontal
354713;Colisão lateral mesmo sentido
354714;Colisão transversal
354715;Tombamento
354716;Tombamento
354717;Colisão transversal
354719;Engavetamento
354720;Colisão transversal
354721;Saída de leito carroçável
354722;Colisão lateral mesmo sentido
354723;Colisão traseira
354724;Colisão traseira
354726;Colisão traseira
354727;Colisão lateral mesmo sentido
354728;Colisão traseira
354729;Atropelamento de Pedestre
354730;Colisão traseira
354732;Saída de leito carroçável
354733;Atropelamento de Animal
354734;Colisão transversal
354735;Colisão com objeto
354736;Queda de ocupante de veículo
354738;Colisão traseira
354739;Tombamento
354740;Incêndio
354741;Colisão lateral mesmo sentido
354742;Colisão transversal
354743;Colisão traseira
354744;Colisão lateral mesmo sentido
354746;Colisão frontal
354747;Colisão transversal
354748;Colisão traseira
354749;Colisão traseira
354750;Atropelamento de Animal
354751;Colisão traseira
354752;Colisão frontal
354754;Colisão com objeto
354755;Capotamento
354756;Colisão transversal
354757;Colisão traseira
354758;Colisão traseira
354759;Colisão traseira
354760;Colisão traseira
354762;Colisão transversal
354764;Incêndio
354765;Colisão transversal
354766;Saída de leito carroçável
354767;Tombamento
354769;Colisão transversal
354770;Colisão lateral mesmo sentido
354771;Colisão transversal
354772;Colisão traseira
354773;Tombamento
354774;Colisão traseira
354775;Tombamento
354776;Colisão frontal
354777;Colisão traseira
354778;Colisão traseira
354779;Atropelamento de Animal
354781;Colisão traseira
354782;Colisão lateral sentido oposto
354783;Atropelamento de Pedestre
354784;Engavetamento
354788;Engavetamento
354789;Colisão traseira
354790;Colisão frontal
354792;Colisão lateral sentido oposto
354793;Atropelamento de Pedestre
354794;Colisão transversal
354795;Capotamento
354796;Colisão traseira
354797;Colisão traseira
354798;Colisão traseira
354799;Colisão traseira
354800;Atropelamento de Pedestre
354801;Colisão frontal
354802;Colisão traseira
354803;Colisão transversal
354804;Colisão traseira
354805;Colisão traseira
354806;Colisão traseira
354807;Colisão traseira
354808;Saída de leito carroçável
354809;Saída de leito carroçável
354810;Queda de ocupante de veículo
354811;Atropelamento de Animal
354812;Colisão lateral mesmo sentido
354813;Engavetamento
354814;Colisão traseira
354815;Colisão traseira
354817;Colisão lateral mesmo sentido
354818;Colisão lateral mesmo sentido
354820;Colisão com objeto
354821;Colisão lateral mesmo sentido
354822;Colisão transversal
354823;Saída de leito carroçável
354824;Colisão transversal
354825;Colisão traseira
354826;Colisão transversal
354827;Colisão lateral mesmo sentido
354828;Colisão transversal
354829;Colisão frontal
354830;Colisão traseira
354831;Colisão traseira
354832;Colisão com objeto
354833;Colisão traseira
354834;Colisão traseira
354835;Queda de ocupante de veículo
354836;Colisão com objeto
354837;Colisão traseira
354838;Colisão transversal
354839;Saída de leito carroçável
354840;Colisão traseira
354841;Saída de leito carroçável
354842;Colisão com objeto
354844;Colisão transversal
354845;Colisão traseira
354847;Atropelamento de Pedestre
354848;Saída de leito carroçável
354849;Atropelamento de Pedestre
354850;Saída de leito carroçável
354851;Saída de leito carroçável
354852;Colisão traseira
354853;Saída de leito carroçável
354854;Colisão lateral mesmo sentido
354855;Colisão com objeto
354856;Saída de leito carroçável
354857;Colisão frontal
354858;Atropelamento de Animal
354859;Colisão frontal
354860;Colisão transversal
354861;Colisão transversal
354862;Colisão com objeto
354863;Colisão traseira
354865;Colisão frontal
354866;Tombamento
354867;Colisão com objeto
354868;Colisão traseira
354869;Saída de leito carroçável
354870;Colisão transversal
354871;Colisão traseira
354872;Colisão traseira
354873;Colisão com objeto
354874;Saída de leito carroçável
354876;Saída de leito carroçável
354877;Colisão frontal
354878;Saída de leito carroçável
354879;Colisão traseira
354880;Colisão traseira
354881;Colisão traseira
354882;Colisão com objeto
354883;Colisão frontal
354886;Capotamento
354887;Colisão transversal
354888;Saída de leito carroçável
354889;Tombamento
354891;Colisão transversal
354892;Colisão traseira
354894;Atropelamento de Pedestre
354895;Capotamento
354896;Incêndio
354897;Colisão com objeto
354898;Colisão traseira
354899;Colisão lateral
354901;Colisão traseira
354902;Tombamento
354904;Colisão com objeto
354905;Colisão transversal
354906;Colisão lateral mesmo sentido
354907;Saída de leito carroçável
354908;Colisão traseira
354909;Colisão traseira
354910;Saída de leito carroçável
354912;Colisão transversal
354913;Queda de ocupante de veículo
354914;Colisão lateral sentido oposto
354915;Atropelamento de Pedestre
354916;Capotamento
354917;Colisão traseira
354918;Colisão com objeto
354919;Colisão traseira
354920;Colisão transversal
354921;Colisão lateral mesmo sentido
354922;Saída de leito carroçável
354923;Colisão traseira
354924;Queda de ocupante de veículo
354925;Tombamento
354926;Capotamento
354927;Colisão lateral mesmo sentido
354928;Tombamento
354929;Colisão com objeto
354930;Colisão traseira
354931;Colisão traseira
354932;Colisão lateral mesmo sentido
354933;Colisão lateral mesmo sentido
354934;Colisão traseira
354935;Colisão traseira
354936;Colisão traseira
354937;Colisão lateral sentido oposto
354938;Tombamento
354939;Incêndio
354940;Colisão traseira
354941;Eventos atípicos
354942;Colisão lateral mesmo sentido
354943;Tombamento
354944;Colisão frontal
354945;Saída de leito carroçável
354946;Saída de leito carroçável
354948;Saída de leito carroçável
354949;Saída de leito carroçável
354951;Tombamento
354952;Saída de leito carroçável
354953;Colisão lateral mesmo sentido
354954;Colisão traseira
354955;Saída de leito carroçável
354956;Saída de leito carroçável
354957;Colisão transversal
354958;Colisão traseira
354959;Colisão traseira
354960;Colisão traseira
354962;Saída de leito carroçável
354963;Colisão traseira
354964;Colisão transversal
354965;Colisão traseira
354966;Saída de leito carroçável
354967;Colisão lateral mesmo sentido
354968;Colisão traseira
354969;Atropelamento de Pedestre
354970;Atropelamento de Animal
354971;Colisão traseira
354972;Colisão traseira
354973;Colisão lateral mesmo sentido
354974;Colisão traseira
354975;Saída de leito carroçável
354976;Colisão com objeto
354977;Colisão traseira
354978;Saída de leito carroçável
354979;Colisão traseira
354981;Colisão traseira
354983;Atropelamento de Animal
354984;Queda de ocupante de veículo
354986;Atropelamento de Pedestre
354987;Tombamento
354988;Colisão transversal
354989;Colisão frontal
354992;Tombamento
354993;Colisão traseira
354994;Saída de leito carroçável
354995;Colisão com objeto
354996;Saída de leito carroçável
354997;Atropelamento de Pedestre
354998;Colisão frontal
354999;Colisão frontal
355000;Atropelamento de Pedestre
355001;Colisão traseira
355002;Colisão traseira
355003;Saída de leito carroçável
355005;Colisão transversal
355006;Queda de ocupante de veículo
355007;Saída de leito carroçável
355008;Colisão traseira
355009;Atropelamento de Pedestre
355010;Colisão com objeto
355011;Colisão transversal
355013;Colisão traseira
355014;Colisão frontal
355015;Colisão lateral mesmo sentido
355016;Tombamento
355017;Atropelamento de Pedestre
355018;Saída de leito carroçável
355019;Colisão transversal
355020;Colisão traseira
355021;Colisão traseira
355024;Atropelamento de Pedestre
355027;Colisão traseira
355028;Colisão traseira
355031;Colisão com objeto
355032;Colisão com objeto
355033;Saída de leito carroçável
355034;Tombamento
355035;Tombamento
355036;Colisão com objeto
355037;Saída de leito carroçável
355038;Colisão traseira
355039;Saída de leito carroçável
355040;Colisão transversal
355041;Atropelamento de Animal
355042;Tombamento
355043;Colisão frontal
355044;Colisão lateral sentido oposto
355045;Colisão com objeto
355046;Colisão com objeto
355047;Saída de leito carroçável
355048;Capotamento
355049;Colisão frontal
355050;Saída de leito carroçável
355051;Saída de leito carroçável
355052;Colisão traseira
355053;Capotamento
355054;Colisão traseira
355055;Saída de leito carroçável
355056;Atropelamento de Pedestre
355057;Colisão com objeto
355058;Colisão lateral mesmo sentido
355059;Colisão com objeto
355060;Saída de leito carroçável
355061;Colisão lateral mesmo sentido
355062;Atropelamento de Pedestre
355063;Colisão traseira
355064;Colisão lateral sentido oposto
355065;Colisão traseira
355066;Tombamento
355067;Colisão lateral mesmo sentido
355068;Colisão lateral mesmo sentido
355069;Colisão traseira
355070;Colisão traseira
355071;Colisão com objeto
355072;Atropelamento de Pedestre
355074;Colisão lateral mesmo sentido
355076;Colisão com objeto
355078;Colisão frontal
355079;Saída de leito carroçável
355080;Incêndio
355081;Colisão traseira
355083;Saída de leito carroçável
355084;Colisão traseira
355086;Colisão frontal
355087;Queda de ocupante de veículo
355089;Colisão lateral sentido oposto
355090;Colisão lateral sentido oposto
355091;Colisão frontal
355092;Colisão traseira
355093;Colisão com objeto
355094;Atropelamento de Animal
355095;Capotamento
355096;Colisão traseira
355098;Colisão transversal
355099;Capotamento
355100;Colisão transversal
355101;Atropelamento de Pedestre
355102;Colisão lateral mesmo sentido
355103;Colisão com objeto
355104;Colisão traseira
355105;Saída de leito carroçável
355106;Tombamento
355108;Atropelamento de Pedestre
355109;Saída de leito carroçável
355110;Saída de leito carroçável
355111;Saída de leito carroçável
355112;Saída de leito carroçável
355113;Saída de leito carroçável
355114;Tombamento
355115;Saída de leito carroçável
355116;Colisão frontal
355118;Saída de leito carroçável
355119;Colisão com objeto
355120;Colisão com objeto
355121;Colisão lateral mesmo sentido
355122;Colisão transversal
355123;Colisão transversal
355124;Tombamento
355125;Colisão transversal
355126;Colisão lateral mesmo sentido
355127;Colisão frontal
355128;Tombamento
355129;Saída de leito carroçável
355130;Colisão frontal
355131;Tombamento
355132;Colisão frontal
355133;Colisão lateral mesmo sentido
355134;Saída de leito carroçável
355135;Colisão lateral mesmo sentido
355136;Saída de leito carroçável
355137;Colisão transversal
355138;Saída de leito carroçável
355139;Colisão frontal
355140;Saída de leito carroçável
355141;Colisão lateral mesmo sentido
355142;Saída de leito carroçável
355143;Colisão traseira
355144;Queda de ocupante de veículo
355145;Colisão com objeto
355146;Tombamento
355147;Saída de leito carroçável
355148;Tombamento
355149;Colisão traseira
355150;Tombamento
355151;Colisão traseira
355152;Tombamento
355153;Colisão transversal
355155;Saída de leito carroçável
355156;Colisão lateral mesmo sentido
355157;Colisão transversal
355158;Colisão lateral mesmo sentido
355159;Saída de leito carroçável
355160;Atropelamento de Animal
355162;Atropelamento de Pedestre
355163;Derramamento de carga
355166;Colisão traseira
355167;Queda de ocupante de veículo
355168;Tombamento
355169;Tombamento
355170;Colisão com objeto
355171;Saída de leito carroçável
355172;Colisão com objeto
355174;Colisão com objeto
355175;Colisão com objeto
355176;Colisão transversal
355179;Eventos atípicos
355180;Colisão transversal
355181;Colisão lateral mesmo sentido
355182;Saída de leito carroçável
355183;Capotamento
355184;Colisão transversal
355185;Queda de ocupante de veículo
355186;Queda de ocupante de veículo
355187;Colisão lateral sentido oposto
355188;Colisão traseira
355189;Colisão transversal
355190;Saída de leito carroçável
355191;Colisão lateral sentido oposto
355192;Atropelamento de Pedestre
355193;Saída de leito carroçável
355194;Colisão transversal
355195;Colisão traseira
355196;Capotamento
355197;Colisão traseira
355198;Colisão frontal
355199;Atropelamento de Pedestre
355200;Colisão transversal
355201;Colisão traseira
355202;Colisão traseira
355203;Colisão traseira
355204;Saída de leito carroçável
355206;Tombamento
355207;Colisão com objeto
355208;Capotamento
355209;Saída de leito carroçável
355210;Colisão traseira
355211;Atropelamento de Pedestre
355213;Tombamento
355214;Capotamento
355215;Tombamento
355216;Capotamento
355218;Colisão com objeto
355219;Colisão transversal
355220;Colisão frontal
355221;Saída de leito carroçável
355222;Tombamento
355223;Colisão lateral sentido oposto
355224;Tombamento
355225;Colisão frontal
355227;Colisão transversal
355228;Colisão lateral mesmo sentido
355229;Saída de leito carroçável
355230;Saída de leito carroçável
355231;Colisão traseira
355232;Saída de leito carroçável
355233;Colisão lateral mesmo sentido
355234;Colisão traseira
355235;Colisão traseira
355236;Colisão traseira
355237;Tombamento
355238;Colisão traseira
355240;Atropelamento de Pedestre
355242;Colisão lateral mesmo sentido
355243;Colisão frontal
355244;Colisão traseira
355245;Atropelamento de Pedestre
355247;Colisão frontal
355248;Saída de leito carroçável
355251;Colisão traseira
355253;Colisão traseira
355254;Saída de leito carroçável
355255;Saída de leito carroçável
355256;Colisão com objeto
355257;Tombamento
355259;Incêndio
355260;Atropelamento de Pedestre
355261;Tombamento
355262;Colisão transversal
355263;Colisão com objeto
355264;Saída de leito carroçável
355266;Capotamento
355267;Saída de leito carroçável
355268;Colisão transversal
355269;Colisão traseira
355270;Colisão traseira
355271;Atropelamento de Pedestre
355272;Saída de leito carroçável
355273;Colisão traseira
355274;Colisão traseira
355275;Colisão traseira
355276;Queda de ocupante de veículo
355277;Colisão transversal
355278;Colisão transversal
355279;Atropelamento de Animal
355280;Colisão frontal
355281;Colisão traseira
355282;Atropelamento de Pedestre
355283;Capotamento
355284;Colisão com objeto
355285;Atropelamento de Pedestre
355286;Capotamento
355287;Saída de leito carroçável
355288;Queda de ocupante de veículo
355289;Colisão transversal
355290;Capotamento
355291;Colisão lateral mesmo sentido
355292;Colisão frontal
355293;Saída de leito carroçável
355294;Saída de leito carroçável
355296;Colisão traseira
355297;Atropelamento de Pedestre
355299;Colisão frontal
355300;Saída de leito carroçável
355301;Colisão lateral mesmo sentido
355302;Saída de leito carroçável
355303;Capotamento
355304;Incêndio
355306;Colisão lateral sentido oposto
355307;Colisão frontal
355308;Colisão lateral mesmo sentido
355309;Capotamento
355310;Colisão traseira
355311;Colisão transversal
355312;Queda de ocupante de veículo
355313;Queda de ocupante de veículo
355314;Queda de ocupante de veículo
355315;Colisão lateral mesmo sentido
355316;Colisão lateral mesmo sentido
355317;Colisão lateral mesmo sentido
355318;Colisão traseira
355319;Colisão lateral mesmo sentido
355321;Colisão traseira
355322;Colisão traseira
355323;Colisão lateral mesmo sentido
355324;Colisão traseira
355325;Colisão frontal
355326;Tombamento
355328;Colisão transversal
355329;Colisão transversal
355330;Saída de leito carroçável
355331;Colisão lateral mesmo sentido
355332;Queda de ocupante de veículo
355333;Colisão traseira
355334;Colisão com objeto
355335;Colisão lateral mesmo sentido
355336;Saída de leito carroçável
355338;Colisão traseira
355339;Colisão traseira
355340;Colisão traseira
355341;Colisão traseira
355342;Saída de leito carroçável
355343;Saída de leito carroçável
355344;Colisão transversal
355345;Saída de leito carroçável
355346;Saída de leito carroçável
355347;Colisão lateral mesmo sentido
355348;Colisão transversal
355349;Capotamento
355350;Queda de ocupante de veículo
355351;Colisão transversal
355352;Colisão frontal
355354;Colisão traseira
355355;Saída de leito carroçável
355356;Saída de leito carroçável
355357;Capotamento
355358;Colisão transversal
355359;Colisão com objeto
355360;Queda de ocupante de veículo
355361;Colisão traseira
355362;Tombamento
355363;Tombamento
